Platzierung	ID	Titel
1	70034	Attraktive Anbindung ohne Umsteigen von Plieningen/Uni Hohenheim zur Innenstadt
2	72306	Schwimmfähigkeit rettet Leben
3	71788	Europaviertel begrünen, Bäume und Sträucher pflanzen
4	71824	Neckaruferpromenade
5	70983	Bürgerbüros wieder öffnen
6	70454	Schulsozialarbeit an den Stuttgarter Schulen ausbauen
7	70757	Prüfung und Umsetzung von Photovoltaik-Anlagen für jedes Dach, das der Stadt gehört (wie Ämter, Schulen, Wohnprojekte)
8	71990	Bäume auf dem Marktplatz
9	70422	Stuttgart braucht viel mehr Grün! Bäume (auch Obstbäume), Hecken Grünflächen pflanzen/anlegen
10	71412	Digitale Terminvergabe bei Ämtern/Behörden
11	70438	Bürgerbüro Service verbessern
12	71473	Finanzielle Absicherung der Stadtteil- und Familienzentren
13	72292	Sanierung der elektrischen Infrastruktur der Schulen für eine funktionierende IT
14	71416	Der Vermüllung des öffentlichen Raums entgegenwirken
15	70660	24-Stunden-Ticket (Tagesticket) einführen
16	71720	Neckar erlebbar machen \"Stadt am Fluss\"
17	70974	Öffentliche Trinkwasserbrunnen oder Wasserspender einrichten
18	70413	Klimaschutz durch Baumpflanzungen
19	70674	Neckar mehr nutzen
20	71597	Mehr Radwege in der Innenstadt
21	71837	Trinkbrunnen in Bad Cannstatt erhalten / ausbauen
22	71332	Wohnungsnot in Stuttgart: Stadt soll leerstehende Bürogebäude kaufen für Wohungen
23	72304	Sporthallen umgehend sanieren und Bestand erweitern
24	70902	Stadtbäume auf Pariser-Platz und Kleiner Schlossplatz
25	70978	Böllerverbot im gesamten Stadtgebiet
26	71785	Mehr Flora und Fauna in der City. Bäume bewässern
27	71678	Pfand- und Mehrwegpflicht auf allen öffentlichen Veranstaltungen
28	71823	Mehr Wasser in Stuttgart
29	72061	Finanzielle Förderung der Hortbetreuung durch Eltern-Kind-Gruppen erhalten
30	70448	Insektenfreundliche Blühstreifen auf Friedhöfen einrichten
31	72378	Lichtverschmutzung eindämmen
32	70767	Mehr öffentliche Mülleimer in der Stadt
33	72347	Die Kunst- und Kulturproduktionsstätte Wagenhalle funktioniert nur mit dauerhaften Außenflächen
34	70755	Trennung von Fußgänger- und Radwegen am Neckar entlang
35	70879	Grünkonzept für Stuttgart-Mitte
36	71185	Foodsharing-Stadt Stuttgart umsetzen und voranbringen
37	70928	Mehr öffentliche und barrierefreie Toiletten
38	70028	Freie Fahrt für Kinder im ÖPNV
39	70918	Hallenbad Heslach öffnen
40	70235	Direkten Radweg von Stuttgart-Süd nach Stuttgart-West
41	70006	Duschbus für Obdachlose einrichten
42	70418	Quellen und Wasserläufe in Stuttgart öffnen/entsiegeln
43	70465	Blühflächen/Blühwiesen und Begrünung von Gebäuden
44	71860	Kapazität erhöhen ÖPNV
45	71257	Verbesserung des Kulturangebots im Rahmen der Kulturinsel in Bad Cannstatt
46	71820	Erzieher*innen und Eltern entlasten
47	71307	Charlottenplatz fahrradtauglich
48	70252	Marienplatz Sitzgelegenheiten/Wanderbäume
49	71205	Neugestaltung Wilhelmsplatz Bad Cannstatt
50	71111	Kita Fachkräfte Bezahlung
51	72421	Repair-Center und second Hand Kaufhaus der Abfallwirtschaft Stuttgart
52	71768	Bus & Bahn für maximal 1 Euro am Tag / Nulltarif für Bonuscard, Studierende, Azubis und Schüler/innen
53	70290	Bepflanzung von Beeten und Gefäßen im Stadtgebiet mit mehrjährigen Pflanzen
54	72186	Bezahlbaren Wohnraum schaffen
55	70812	Frauenhaus stärker fördern
56	71080	Sonnensegel oder anderer Schattenspender für den Marienplatz
57	71889	Ahndung von weggeworfenen Zigaretten und Kaugummis
58	72348	Cannstatter Wasen begrünen
59	72450	Steuern und Abgaben auf Spielhallen und Wettbüros erhöhen
